Provincia,Partido,Localidad,ADSL,Cablemódem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
JUJUY,El Carmen,San Juancito,--,--,--,--,SI,--,--,--,--
JUJUY,Humahuaca,Aparzo,--,--,--,--,--,--,--,--,--
JUJUY,Humahuaca,Cianzo,--,--,--,--,--,--,--,--,--
JUJUY,Humahuaca,Coctaca,--,--,--,--,--,--,--,--,--
JUJUY,Humahuaca,El Aguilar,--,--,--,--,SI,SI,SI,--,SI
JUJUY,Humahuaca,Hipólito Yrigoyen (Est. Iturbe),--,--,--,SI,--,--,--,--,--
JUJUY,Humahuaca,Humahuaca,SI,--,--,--,SI,SI,SI,SI,SI
JUJUY,Humahuaca,Palca de Aparzo,--,--,--,--,SI,--,--,--,--
JUJUY,Humahuaca,Palca de Varas,--,--,--,--,--,--,--,--,--
JUJUY,Humahuaca,Rodero,--,--,--,--,--,--,--,--,--
JUJUY,Humahuaca,Tres Cruces,--,--,--,SI,SI,--,SI,--,--
JUJUY,Humahuaca,Uquía (Est. Senador Pérez),SI,--,--,SI,--,--,SI,--,--
JUJUY,Ledesma,Bananal,--,--,--,--,--,--,--,--,--
JUJUY,Ledesma,Bermejito,--,--,--,--,--,--,--,--,--
JUJUY,SANTA BARBARA,Santa Clara,SI,--,--,--,SI,SI,SI,SI,SI
JUJUY,SANTA BARBARA,Vinalito,--,--,--,--,--,--,--,SI,--
JUJUY,Santa Catalina,Casira,--,--,--,SI,--,--,SI,--,--
JUJUY,Santa Catalina,Ciénega,--,--,--,SI,--,--,--,--,--
JUJUY,Santa Catalina,Cieneguillas,--,--,--,SI,--,--,--,--,--
JUJUY,Santa Catalina,Cusi Cusi,--,--,--,SI,--,--,SI,--,--
JUJUY,Santa Catalina,El Angosto,--,--,--,--,--,--,--,--,--
JUJUY,Santa Catalina,La Ciénega,--,--,--,--,--,--,SI,--,--
JUJUY,Santa Catalina,Misarrumi,--,--,--,--,--,--,SI,--,SI
JUJUY,Santa Catalina,Oratorio,--,--,--,SI,--,--,SI,--,--
JUJUY,Santa Catalina,Paicone,--,--,--,SI,--,--,--,--,--
JUJUY,Santa Catalina,San Juan de Oros,--,--,--,--,--,--,--,--,--
JUJUY,Santa Catalina,Santa Catalina,--,--,--,SI,--,--,--,--,SI
JUJUY,Santa Catalina,Yoscaba,--,--,--,--,--,--,--,--,--
JUJUY,Susques,Catua,--,--,--,SI,--,--,SI,--,--
JUJUY,Susques,Coranzuli,--,--,--,SI,--,--,SI,--,--
JUJUY,Susques,El Toro,--,--,--,SI,--,--,--,--,SI
JUJUY,Susques,Huáncar,--,--,--,SI,--,--,SI,--,--
JUJUY,Susques,Jama,--,--,--,SI,--,--,--,--,--
JUJUY,Susques,Mina Providencia,--,--,--,SI,--,--,--,--,--
JUJUY,Susques,Olacapato,--,--,--,SI,--,--,--,SI,--
JUJUY,Susques,Olaroz Chico,--,--,--,SI,--,--,SI,SI,SI
JUJUY,Susques,Pastos Chicos,--,--,--,SI,--,--,SI,--,--
MISIONES,Iguazú,Villa Cooperativa,--,--,--,--,--,--,--,--,--
MISIONES,Iguazú,Wanda,SI,--,--,SI,SI,SI,SI,--,SI
MISIONES,Leandro N. Alem,Almafuerte,--,--,--,--,SI,--,--,SI,--
MISIONES,Leandro N. Alem,Arroyo del Medio,--,--,--,--,SI,--,--,SI,--
MISIONES,Leandro N. Alem,Caá - Yarí,--,--,--,--,--,--,--,SI,--
MISIONES,Leandro N. Alem,Cerro Azul,--,SI,--,SI,SI,--,SI,SI,SI
MISIONES,Leandro N. Alem,Dos Arroyos,--,--,--,SI,SI,--,SI,--,--
MISIONES,Leandro N. Alem,Gobernador López,--,--,--,--,SI,--,SI,--,--
MISIONES,Leandro N. Alem,Leandro N. Alem,SI,SI,--,SI,SI,SI,SI,--,--
MISIONES,Leandro N. Alem,Olegario V. Andrade,--,--,--,--,--,--,--,SI,--
MISIONES,Leandro N. Alem,Villa Libertad (Municipio Caá Yarí),--,--,--,--,--,--,--,--,--
MISIONES,Leandro N. Alem,Villa Libertad (Municipio Leandro N. Alem),--,SI,--,--,--,--,--,--,--
MISIONES,Libertador Grl. San Martín,Capioví,SI,SI,--,--,SI,SI,SI,SI,SI
MISIONES,Libertador Grl. San Martín,Capioviciño,--,--,--,--,--,--,--,--,--
MISIONES,Libertador Grl. San Martín,El Alcázar,--,--,--,--,SI,SI,SI,--,SI
MISIONES,Libertador Grl. San Martín,Garuhapé,SI,SI,--,--,SI,SI,SI,SI,SI
MISIONES,Libertador Grl. San Martín,Puerto Rico,SI,SI,--,--,SI,SI,SI,SI,--
MISIONES,Libertador Grl. San Martín,Ruiz de Montoya,SI,SI,--,--,SI,--,SI,SI,SI
MISIONES,Libertador Grl. San Martín,San Alberto,--,--,--,--,--,--,--,--,--
MISIONES,Libertador Grl. San Martín,San Gotardo,--,--,--,--,SI,--,--,--,--
MISIONES,Libertador Grl. San Martín,San Miguel,SI,--,--,--,SI,--,--,--,--
MISIONES,Libertador Grl. San Martín,Villa Akerman,--,--,--,--,--,--,--,--,--
MISIONES,Libertador Grl. San Martín,Villa Urrutia,--,--,--,--,--,--,--,--,--
MISIONES,Montecarlo,Bario Ita,--,--,--,--,--,--,--,--,--
MISIONES,Montecarlo,Barrio Cuatro Bocas,--,--,--,--,--,--,--,--,--
MISIONES,Montecarlo,Barrio Guatambu,--,--,--,--,--,--,--,--,--
MISIONES,Montecarlo,Caraguatay,--,--,--,--,SI,SI,SI,--,--
MISIONES,Montecarlo,Laharrague,--,--,--,--,--,--,--,--,--
MISIONES,Montecarlo,Montecarlo,SI,SI,--,SI,SI,SI,SI,--,--
MISIONES,Montecarlo,Piray Kilómetro 18,--,--,--,--,SI,--,--,--,--
MISIONES,Montecarlo,Puerto Piray,SI,--,--,--,SI,SI,SI,--,SI
MISIONES,Montecarlo,Taruma,--,--,--,--,--,--,--,--,SI
MISIONES,Montecarlo,Villa Parodi,--,--,--,--,--,--,--,--,--
MISIONES,Oberá,Alberdi,--,--,--,SI,SI,SI,SI,SI,--
MISIONES,Oberá,Barrio Escuela 461,--,--,--,--,--,--,--,--,--
MISIONES,Eldorado,Valle Hermoso,--,--,--,--,--,--,--,--,--
MISIONES,Eldorado,Villa Roulet,--,--,--,--,--,--,--,--,--
MISIONES,General Manuel Belgrano,Almirante Brown,--,--,--,--,SI,--,--,--,--
MISIONES,General Manuel Belgrano,Bernardo de Irigoyen,--,--,--,SI,SI,--,SI,--,--
MISIONES,General Manuel Belgrano,Caburei,--,--,--,--,--,--,--,--,--
MISIONES,General Manuel Belgrano,Dos Hermanas,--,--,--,--,SI,--,--,--,--
MISIONES,General Manuel Belgrano,Integración,--,--,--,--,--,--,SI,--,--
MISIONES,General Manuel Belgrano,Piñalito Norte,--,--,--,--,SI,--,--,--,--
MISIONES,General Manuel Belgrano,Puerto Andresito,--,--,--,--,--,--,--,--,--
MISIONES,General Manuel Belgrano,Puerto Deseado,--,--,--,--,--,--,--,--,--
MISIONES,General Manuel Belgrano,San Antonio,--,--,--,--,SI,SI,SI,--,--
MISIONES,Guaraní,El Soberbio,--,--,--,--,SI,--,SI,SI,SI
MISIONES,Guaraní,Fracrán,--,--,--,--,SI,SI,--,SI,--
MISIONES,Guaraní,San Vicente,--,--,--,SI,SI,SI,SI,SI,--
MISIONES,Iguazú,Esperanza,SI,SI,--,SI,SI,SI,SI,SI,--
MISIONES,Iguazú,Libertad,SI,--,--,--,SI,SI,SI,--,--
MISIONES,Iguazú,Puerto Iguazú,SI,SI,--,SI,SI,SI,SI,--,SI
CORDOBA,Capital,Córdoba,SI,SI,SI,SI,SI,SI,SI,SI,SI
CORDOBA,Capital,Jardín Arenales,--,--,--,--,SI,SI,--,--,--
CORDOBA,Capital,La Floresta,--,--,--,--,SI,SI,--,--,--
CORDOBA,Colón,1 De Agosto,--,--,--,--,SI,SI,--,--,--
CORDOBA,Colón,Agua de Oro,SI,--,--,SI,SI,SI,--,SI,--
CORDOBA,Colón,Almirante Brown,--,--,--,--,--,--,--,--,--
CORDOBA,Colón,Ascochinga,SI,--,--,SI,SI,SI,SI,--,--
CORDOBA,Colón,Barrio Nuevo Río Ceballos,--,--,--,--,--,--,--,--,--
CORDOBA,Colón,Canteras El Sauce,--,--,--,--,--,--,--,--,--
CORDOBA,Colón,Casa Bamba,--,--,--,--,--,SI,--,--,--
CORDOBA,Colón,Ciudad De Los Niños,--,--,--,--,--,--,--,--,--
CORDOBA,Colón,Colonia Caroya,SI,SI,--,SI,SI,SI,SI,SI,--
BUENOS AIRES,La Matanza,Rafael Castillo,SI,SI,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,La Matanza,Ramos Mejía,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,La Matanza,San Justo,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,La Matanza,Tapiales,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,La Matanza,Villa Eduardo Madero,SI,SI,SI,SI,SI,SI,SI,SI,--
CATAMARCA,Santa María,Yapes,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa Rosa,Alijilán,--,--,--,--,SI,--,SI,--,SI
CATAMARCA,Santa Rosa,Bañado de Ovanta,--,--,--,--,SI,--,SI,--,SI
CATAMARCA,Santa Rosa,Las Cañas,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa Rosa,Lavalle,--,--,--,--,--,--,--,--,SI
CATAMARCA,Santa Rosa,Los Altos,--,--,--,--,SI,SI,SI,SI,SI
CATAMARCA,Santa Rosa,Manantiales,--,--,--,--,--,--,--,--,--
CATAMARCA,Santa Rosa,San Pedro,--,--,--,--,SI,--,--,--,--
CATAMARCA,Tinogasta,Anillaco,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Antinaco,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Banda de Lucero,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Cerro Negro,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Copacabana,--,--,--,--,SI,--,--,--,--
CATAMARCA,Tinogasta,Cordobita,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Costa de Reyes,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,El Pueblito,--,--,--,--,--,--,SI,--,--
CATAMARCA,Tinogasta,El Puesto,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,El Salado,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Fiambalá,--,--,--,SI,SI,SI,SI,SI,SI
CATAMARCA,Tinogasta,La Puntilla,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,La Ramadita,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Los Balverdis,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Medanitos,--,--,--,--,SI,--,--,--,--
CATAMARCA,Tinogasta,Palo Blanco,--,--,--,--,--,--,SI,--,--
CATAMARCA,Tinogasta,Pampa Blanca,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Punta del Agua,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Saujil,--,--,--,--,--,--,--,--,--
BUENOS AIRES,Berazategui,Guillermo E. Hudson,SI,SI,SI,SI,SI,SI,SI,--,--
BUENOS AIRES,Berazategui,Juan María Gutierrez,SI,SI,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,Berazategui,Pereyra,SI,SI,SI,SI,SI,--,SI,--,--
BUENOS AIRES,Berazategui,Plátanos,--,SI,--,SI,SI,SI,SI,--,--
BUENOS AIRES,Berazategui,Ranelagh,SI,SI,SI,SI,SI,SI,SI,--,SI
BUENOS AIRES,Berazategui,Villa España,SI,SI,--,SI,SI,SI,SI,--,--
BUENOS AIRES,Berisso,Barrio Banco Provincia,--,--,--,--,SI,--,--,--,--
BUENOS AIRES,Berisso,Barrio El Carmen (Este),--,--,--,SI,SI,SI,--,SI,--
BUENOS AIRES,Berisso,Barrio Universitario,--,--,--,--,SI,SI,--,--,--
BUENOS AIRES,Bragado,Asamblea,--,--,--,--,--,--,--,--,--
CATAMARCA,Tinogasta,Tatón,--,--,--,--,SI,--,SI,--,--
BUENOS AIRES,La Matanza,Ciudad Evita,SI,SI,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,La Matanza,Gonzalez Catán,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,La Matanza,Gregorio De Laferrere,SI,SI,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,La Matanza,Isidro Casanova,SI,SI,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,La Matanza,La Tablada,SI,SI,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,La Matanza,Lomas Del Mirador,SI,SI,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,Saladillo,Alvarez de Toledo,--,--,--,SI,--,SI,SI,--,--
BUENOS AIRES,Saladillo,Blaquier,--,--,--,--,--,--,--,--,--
BUENOS AIRES,Saladillo,Cazón,--,--,--,SI,--,--,SI,--,--
BUENOS AIRES,Saladillo,Del Carril,--,--,--,--,SI,--,SI,SI,--
BUENOS AIRES,Saladillo,Polvaredas,--,--,--,--,--,--,--,--,--
BUENOS AIRES,Saladillo,Saladillo,SI,SI,--,SI,SI,SI,SI,SI,--
BUENOS AIRES,Salliqueló,Quenumá,--,--,--,--,--,--,--,--,--
BUENOS AIRES,Salliqueló,Salliqueló,SI,--,SI,--,SI,SI,SI,--,SI
BUENOS AIRES,Salto,Arroyo Dulce,SI,--,--,SI,SI,SI,SI,SI,--
BUENOS AIRES,Salto,Berdier,--,--,--,--,--,--,--,--,--
BUENOS AIRES,Salto,Gahan,--,--,--,--,--,SI,SI,--,--
BUENOS AIRES,Salto,Inés Indart,--,--,--,SI,SI,--,SI,--,SI
BUENOS AIRES,Salto,La Invencible,--,--,--,--,SI,--,--,--,--
BUENOS AIRES,Salto,Salto,SI,SI,SI,SI,SI,SI,SI,--,--
CABA,COMUNA 15,PARQUE CHAS,SI,SI,SI,SI,SI,SI,SI,SI,SI
CATAMARCA,Tinogasta,Tinogasta,SI,--,--,SI,SI,--,SI,--,SI
CATAMARCA,Valle Viejo,El Bañado,--,--,--,--,--,--,--,--,--
CATAMARCA,Valle Viejo,El Portezuelo,--,--,--,--,--,SI,--,--,SI
CATAMARCA,Valle Viejo,Huaycama,--,--,--,--,--,--,--,--,--
CATAMARCA,Valle Viejo,Las Tejas,--,--,--,--,SI,SI,--,--,--
CATAMARCA,Valle Viejo,Polcos,--,--,--,SI,--,--,--,--,--
CATAMARCA,Valle Viejo,Pozo Del Mistol,--,--,--,SI,--,--,--,--,--
CATAMARCA,Valle Viejo,San Isidro,--,--,--,SI,SI,SI,--,SI,--
CORDOBA,Colón,Colonia Tirolesa,--,--,--,--,SI,SI,SI,--,--
CORDOBA,Colón,Colonia Vicente Agüero,--,--,--,--,--,--,SI,--,--
CORDOBA,Colón,Corral Quemado,--,--,--,--,--,--,--,--,--
CORDOBA,Colón,Country Chacras de la Villa - Country San Isidro,--,--,--,--,SI,SI,--,--,--
CORDOBA,Colón,Dumesnil,--,--,--,SI,SI,--,--,--,--
CORDOBA,Colón,El Diquecito,--,--,--,--,SI,--,--,--,--
CORDOBA,Colón,El Manzano,SI,--,--,--,SI,--,--,SI,--
CORDOBA,Colón,El Pueblito,--,--,--,--,--,SI,--,--,--
CORDOBA,Colón,Estación Colonia Tirolesa,--,--,--,--,--,--,--,--,--
CORDOBA,Colón,General Paz,SI,--,--,--,SI,SI,SI,--,--
CORDOBA,Colón,Jesús María,SI,SI,--,SI,SI,SI,SI,--,--
CORDOBA,Colón,La Calera,SI,SI,--,SI,SI,SI,SI,SI,SI
CORDOBA,Colón,La Granja,SI,--,--,SI,SI,--,SI,SI,--
CORDOBA,Colón,La Morada,--,--,--,--,SI,SI,--,--,--
CORDOBA,Colón,La Puerta,--,--,--,--,--,--,--,--,--
CORDOBA,Colón,Las Corzuelas,--,--,--,--,SI,--,--,--,--
CORDOBA,Colón,Los Chañaritos,--,--,--,--,--,--,--,--,--
CORDOBA,Colón,Villa Allende,SI,SI,--,SI,SI,SI,SI,SI,--
CORDOBA,Colón,Villa Cerro Azul,SI,--,--,--,--,--,--,SI,--
CORDOBA,Colón,Villa Corazon De Maria,--,--,--,--,--,--,--,--,--
CORDOBA,Colón,Villa El Fachinal - Parque Norte - Guiñazú Norte,SI,--,--,--,--,--,SI,--,SI
CORDOBA,Colón,Villa Los Llanos - Juárez Celman,SI,--,--,SI,SI,SI,SI,SI,--
CORDOBA,Colón,Villa Pastora,--,--,--,--,--,--,--,--,--
CORDOBA,Cruz del Eje,Alto de los Quebrachos,--,--,--,--,--,--,--,SI,--
CORDOBA,Cruz del Eje,Bañado de Soto,--,--,--,--,--,--,--,SI,--
CORDOBA,Cruz del Eje,Canteras Quilpo,--,--,--,--,--,--,SI,SI,--
CORDOBA,Cruz del Eje,Cruz de Caña,--,--,--,--,--,--,--,SI,--
CORDOBA,Cruz del Eje,Cruz del Eje,SI,SI,--,SI,SI,SI,SI,SI,--
CORDOBA,Cruz del Eje,El Brete,--,--,--,SI,--,--,--,SI,--
CORDOBA,Cruz del Eje,El Rincón,--,--,--,--,--,--,--,--,--
CORDOBA,Cruz del Eje,Guanaco Muerto,--,--,--,--,--,--,--,SI,--
CORDOBA,Cruz del Eje,La Banda,--,--,--,--,--,--,--,--,SI
CORDOBA,Cruz del Eje,La Batea,--,--,--,--,--,--,--,SI,--
CORDOBA,Tulumba,Las Arrias,SI,--,--,--,SI,SI,SI,--,--
CORDOBA,Tulumba,Lucio V. Mansilla,--,--,--,--,SI,SI,SI,--,--
CORDOBA,Tulumba,Rosario del Saladillo,--,--,--,SI,--,--,--,--,--
CORDOBA,Tulumba,San José de la Dormida,SI,--,--,--,SI,SI,SI,SI,SI
CORDOBA,Tulumba,San José de las Salinas,--,--,--,--,SI,SI,--,--,--
CORDOBA,Tulumba,San Pedro Norte,--,--,--,--,--,--,--,SI,--
CORDOBA,Tulumba,Villa Tulumba,--,--,--,SI,SI,SI,SI,SI,--
CORDOBA,Unión,Aldea Santa María,--,--,--,--,--,--,--,--,--
CORDOBA,Unión,Alto Alegre,SI,SI,--,SI,SI,SI,SI,--,--
CORDOBA,Unión,Ana Zumarán,--,--,--,--,SI,--,--,--,--
CORDOBA,Unión,Ballesteros,SI,--,--,SI,SI,SI,SI,SI,--
CORDOBA,Unión,Ballesteros Sur,--,--,--,SI,--,--,SI,SI,--
CORDOBA,Unión,Bell Ville,SI,SI,--,SI,SI,SI,SI,--,--
CORDOBA,Unión,Benjamín Gould,--,--,--,--,SI,--,SI,SI,--
JUJUY,Ledesma,Caimancito,SI,--,--,--,SI,SI,SI,SI,SI
JUJUY,Ledesma,Calilegua,--,SI,--,--,SI,SI,--,SI,SI
JUJUY,Ledesma,Chalicán,--,--,--,--,SI,--,--,SI,--
JUJUY,Ledesma,Fraile Pintado,SI,SI,--,--,SI,SI,SI,SI,SI
JUJUY,Ledesma,Libertad,--,--,--,--,--,--,--,--,--
JUJUY,Ledesma,Libertador General San Martín (Est. Ledesma),SI,SI,--,SI,SI,SI,SI,SI,SI
JUJUY,Ledesma,Maíz Negro,--,--,--,--,--,--,--,--,--
JUJUY,Ledesma,Paulina,--,--,--,--,--,--,--,--,--
JUJUY,Ledesma,Pueblo Ledesma,--,--,--,--,SI,SI,--,--,--
JUJUY,Ledesma,Yuto,--,--,--,--,SI,SI,--,SI,SI
JUJUY,Palpalá,Carahunco,SI,--,--,--,--,--,SI,--,SI
JUJUY,Palpalá,Centro Forestal,SI,--,--,--,--,--,SI,--,--
JUJUY,Palpalá,Mina 9 de Octubre,--,--,--,--,--,--,--,--,--
JUJUY,Palpalá,Palpalá (Est. Gral. Manuel N. Savio),SI,SI,--,SI,SI,SI,SI,SI,SI
JUJUY,Palpalá,Rio Blanco,--,--,--,--,SI,SI,--,--,--
JUJUY,Rinconada,Casa Colorada,--,--,--,--,--,--,--,--,--
BUENOS AIRES,Bragado,Bragado,SI,SI,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,Bragado,Comodoro Py,--,--,--,SI,SI,SI,--,SI,--
BUENOS AIRES,Bragado,General O'Brien,SI,--,--,SI,SI,SI,SI,SI,--
BUENOS AIRES,Bragado,Irala,--,SI,--,--,SI,--,SI,SI,--
BUENOS AIRES,Bragado,La Limpia,--,--,--,--,--,--,--,--,--
BUENOS AIRES,Bragado,Máximo Fernández (Est. Juan F. Salaberry),--,--,--,--,--,--,--,--,--
BUENOS AIRES,Bragado,Mechita (Est. Mecha),SI,SI,--,--,--,--,--,SI,--
BUENOS AIRES,Bragado,Olascoaga,--,--,--,--,--,--,--,SI,--
BUENOS AIRES,Bragado,Warnes,SI,--,--,--,--,--,--,SI,--
BUENOS AIRES,Brandsen,Altamirano,--,--,--,--,SI,--,SI,--,--
BUENOS AIRES,Brandsen,Barrio El Mirador,--,--,--,--,SI,SI,--,--,--
BUENOS AIRES,Brandsen,Barrio Las Golondrinas,--,--,--,--,SI,SI,--,--,--
BUENOS AIRES,Brandsen,Barrio Los Bosquecitos,--,--,--,--,--,--,--,--,--
BUENOS AIRES,Brandsen,Barrio Parque Las Acacias,--,--,--,--,--,--,--,--,--
BUENOS AIRES,Brandsen,Campos de Roca,--,--,--,--,SI,SI,--,--,--
BUENOS AIRES,Brandsen,Club de Campo Las Malvinas,--,--,--,--,--,--,--,--,--
CHACO,25 de Mayo,Napalpí,--,--,--,--,SI,--,--,--,--
MISIONES,Libertador Grl. San Martín,Mbopicuá,--,--,--,--,--,--,--,--,--
MISIONES,Libertador Grl. San Martín,Puerto Leoni,--,--,--,--,SI,--,--,SI,--
BUENOS AIRES,Carlos Casares,Carlos Casares,SI,SI,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,Carlos Casares,Colonia Mauricio,--,--,--,--,--,--,--,--,--
BUENOS AIRES,Carlos Casares,Hortensia,--,--,--,--,--,--,--,--,--
BUENOS AIRES,Carlos Casares,La Sofía,--,--,--,--,SI,SI,--,SI,--
BUENOS AIRES,Carlos Casares,Mauricio Hirsch,--,--,--,--,--,--,SI,SI,--
BUENOS AIRES,Carlos Casares,Moctezuma,--,--,--,--,SI,--,SI,SI,--
BUENOS AIRES,Carlos Casares,Ordoqui,--,--,--,--,--,--,--,--,--
BUENOS AIRES,Carlos Casares,Santo Tomás,--,--,--,--,--,--,--,--,--
BUENOS AIRES,Carlos Casares,Smith,--,--,--,--,--,--,SI,SI,--
BUENOS AIRES,Carlos Tejedor,Carlos Tejedor,SI,SI,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,Carlos Tejedor,Colonia Seré,--,--,--,--,--,--,SI,SI,--
BUENOS AIRES,Carlos Tejedor,Curarú,--,--,--,--,--,--,SI,SI,--
BUENOS AIRES,Carlos Tejedor,Timote,--,--,--,--,--,--,SI,SI,--
BUENOS AIRES,Carlos Tejedor,Tres Algarrobos (Est. Cuenca),--,--,--,--,SI,SI,SI,SI,SI
BUENOS AIRES,Carmen de Areco,Carmen de Areco,SI,SI,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,La Matanza,Villa Luzuriaga,SI,SI,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,La Matanza,Virrey Del Pino,SI,SI,--,SI,SI,SI,SI,SI,--
BUENOS AIRES,La Plata,Abasto,SI,SI,--,SI,SI,SI,SI,SI,--
BUENOS AIRES,La Plata,Angel Etcheverry,--,SI,--,--,SI,SI,--,SI,--
BUENOS AIRES,La Plata,Arana,--,--,--,--,--,--,--,SI,--
BUENOS AIRES,La Plata,Arturo Segui,--,SI,--,--,SI,SI,SI,--,--
BUENOS AIRES,La Plata,Barrio El Carmen Oeste,--,--,--,--,--,--,--,SI,--
BUENOS AIRES,La Plata,Barrio El Peligro,SI,--,--,SI,SI,SI,SI,--,--
BUENOS AIRES,La Plata,Barrio Gambier,--,--,--,--,SI,SI,--,SI,--
BUENOS AIRES,La Plata,Barrio Las Malvinas,--,--,--,--,SI,SI,--,--,--
BUENOS AIRES,La Plata,Barrio Las Quintas,--,--,--,--,SI,--,--,--,--
BUENOS AIRES,La Plata,Villa Montoro,--,--,--,--,SI,SI,--,SI,--
BUENOS AIRES,La Plata,Villa Parque Sicardi,--,--,--,--,SI,SI,--,SI,--
BUENOS AIRES,Lanús,Gerli,SI,SI,SI,SI,SI,SI,SI,--,--
BUENOS AIRES,Lanús,Lanús Este,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,Lanús,Lanús Oeste,--,SI,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,Lanús,Monte Chingolo,SI,SI,SI,SI,SI,SI,SI,--,--
BUENOS AIRES,Lanús,Remedios Escalada De San Martin,SI,SI,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,San Cayetano,San Cayetano,SI,SI,--,SI,SI,SI,SI,SI,--
BUENOS AIRES,San Fernando,San Fernando,SI,SI,SI,SI,SI,SI,SI,SI,--
BUENOS AIRES,San Fernando,Victoria,SI,SI,--,SI,SI,SI,SI,SI,SI
BUENOS AIRES,San Fernando,Virreyes,SI,SI,--,SI,SI,SI,SI,--,--
BUENOS AIRES,San Isidro,Acassuso,SI,SI,SI,SI,SI,SI,SI,--,SI
BUENOS AIRES,San Isidro,Beccar,SI,SI,--,SI,SI,SI,SI,SI,--
BUENOS AIRES,San Miguel,Muñiz,SI,SI,SI,SI,SI,SI,SI,--,--
BUENOS AIRES,San Miguel,San Miguel,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,San Nicolás,Campos Salles,--,--,--,--,--,--,--,--,--
BUENOS AIRES,San Nicolás,Conesa,SI,--,--,SI,SI,SI,SI,SI,SI
BUENOS AIRES,San Nicolás,Erézcano,--,--,--,--,--,--,--,SI,--
BUENOS AIRES,San Nicolás,General Rojo,--,--,--,SI,SI,SI,SI,--,SI
BUENOS AIRES,San Nicolás,La Emilia,--,--,--,--,SI,SI,--,--,--
BUENOS AIRES,San Nicolás,San Nicolás de los Arroyos,SI,SI,SI,SI,SI,SI,SI,SI,SI
BUENOS AIRES,San Nicolás,Villa Campi,--,--,--,--,--,SI,--,--,--
BUENOS AIRES,San Nicolás,Villa Canto,--,--,--,--,SI,SI,--,--,--
BUENOS AIRES,San Nicolás,Villa Esperanza,--,--,--,--,--,--,--,--,--
BUENOS AIRES,San Nicolás,Villa Riccio,--,--,--,--,--,--,--,--,--
CABA,COMUNA 15,VILLA CRESPO,SI,SI,SI,SI,SI,SI,SI,SI,SI
CHACO,9 de Julio,Las Breñas,SI,--,--,SI,SI,SI,SI,--,SI
CHACO,Almirante Brown,Concepción del Bermejo,--,--,--,SI,SI,SI,SI,SI,SI
CHACO,Almirante Brown,Los Frentones,--,--,--,SI,SI,--,SI,--,SI
CHACO,Almirante Brown,Pampa del Infierno,--,--,--,SI,SI,SI,SI,SI,SI
CHACO,Almirante Brown,Río Muerto,--,--,--,--,SI,--,--,--,--
MISIONES,San Ignacio,General Urquiza,--,--,--,--,--,--,--,SI,--
CATAMARCA,Valle Viejo,Santa Cruz,--,--,--,--,--,--,--,--,--
CATAMARCA,Valle Viejo,Santa Rosa,--,--,--,SI,SI,SI,--,SI,--
CATAMARCA,Valle Viejo,Sumalao,--,--,--,SI,--,--,--,SI,--
CATAMARCA,Valle Viejo,Villa Dolores,--,--,--,SI,SI,--,--,SI,--
CHACO,12 de Octubre,Gancedo,--,--,--,SI,SI,--,SI,SI,SI
CHACO,12 de Octubre,General Capdevila,--,--,--,--,SI,--,--,--,--
CHACO,12 de Octubre,General Pinedo,SI,--,--,SI,SI,SI,SI,SI,SI
